Shipment_ID,Origin,Destination,Transport_Mode,Distance_km,Shipment_Volume_kg,Traffic_Level,Weather,Priority,Warehouse_Delay_hours,Transportation_Cost_INR,Delivery_Time_days
SHP20286,Mumbai,Hyderabad,Road,534,47,6,Storm,Standard,2.44,1199.71,7.69
SHP20287,Hyderabad,Mumbai,Road,954,297,3,Clear,Standard,0.16,2244.58,4.89
SHP20288,Bangalore,Chennai,Road,608,252,6,Clear,Standard,2.05,1230.52,7.49
SHP20289,Hyderabad,Bangalore,Road,2017,36,8,Rain,Urgent,1.62,4524.69,9.48
SHP20290,Bangalore,Kochi,Rail,1177,78,8,Clear,Standard,1.62,1823.12,9.23
SHP20291,Chennai,Chennai,Road,1283,109,9,Rain,Urgent,0.32,2631.45,7.34
SHP20292,Hyderabad,Delhi,Road,517,218,1,Clear,Standard,1.63,903.41,5.84
SHP20293,Mumbai,Kochi,Air,897,381,1,Clear,Standard,2.46,6130.32,6.56
SHP20294,Mumbai,Bangalore,Road,308,460,3,Clear,Standard,2.28,1039.8,7.87
SHP20295,Delhi,Hyderabad,Road,332,45,3,Clear,Standard,1.1,1107.09,4.04
SHP20296,Bangalore,Mumbai,Road,1699,44,10,Rain,Standard,0.1,4180.64,7.61
SHP20297,Hyderabad,Chennai,Air,1948,413,8,Rain,Standard,0.91,12698.56,7.19
SHP20298,Delhi,Bangalore,Road,89,320,10,Clear,Standard,2.07,682.64,6.62
SHP20299,Hyderabad,Kochi,Rail,1064,358,1,Clear,Standard,1.75,1115.94,8.68
SHP20300,Bangalore,Delhi,Road,662,286,2,Rain,Standard,1.15,1729.65,6.47
SHP20301,Mumbai,Bangalore,Road,1965,480,2,Storm,Standard,0.14,4954.89,8.07
SHP20302,Chennai,Pune,Road,737,200,3,Clear,Urgent,1.07,1750.15,5.15
SHP20303,Mumbai,Coimbatore,Road,662,475,6,Clear,Urgent,1.17,1464.05,6.58
SHP20304,Delhi,Delhi,Rail,1831,379,1,Clear,Standard,2.32,2587.68,10.2
SHP20305,Chennai,Kochi,Rail,1860,87,2,Rain,Standard,1.6,2520.37,10.17
SHP20306,Delhi,Hyderabad,Sea,1597,370,1,Clear,Standard,0.78,1401.3,10.06
SHP20307,Bangalore,Mumbai,Road,1980,431,5,Clear,Urgent,1.31,3881.91,8.01
SHP20308,Chennai,Kochi,Road,1202,478,7,Rain,Standard,0.17,3054.74,6.44
SHP20309,Delhi,Coimbatore,Air,624,340,8,Clear,Standard,2.43,4218.78,5.69
SHP20310,Bangalore,Hyderabad,Road,1960,68,10,Clear,Standard,0.9,4774.37,7.94
SHP20311,Mumbai,Chennai,Road,1062,194,1,Clear,Standard,1.19,2358.86,5.41
SHP20312,Bangalore,Bangalore,Road,719,71,7,Clear,Standard,0.89,1864.29,5.4
SHP20313,Hyderabad,Pune,Road,318,121,5,Clear,Urgent,1.71,890.13,5.51
SHP20314,Bangalore,Delhi,Sea,1333,235,10,Clear,Standard,1.66,1702.38,11.67
SHP20315,Bangalore,Delhi,Air,973,457,1,Clear,Standard,1.79,5985.48,5.59
SHP20316,Hyderabad,Bangalore,Rail,1175,207,3,Clear,Standard,0.67,1558.76,7.17
SHP20317,Delhi,Pune,Road,1579,76,7,Rain,Standard,0.79,3743.55,7.73
SHP20318,Delhi,Bangalore,Road,1808,66,10,Rain,Urgent,0.31,4077.77,6.92
SHP20319,Bangalore,Chennai,Road,1644,178,1,Clear,Standard,1.64,3383.57,7.75
SHP20320,Hyderabad,Coimbatore,Road,296,193,7,Clear,Urgent,0.1,1132.24,4.69
SHP20321,Hyderabad,Hyderabad,Road,1610,261,5,Clear,Standard,1.49,3756.37,8.03
SHP20322,Mumbai,Kochi,Rail,1989,301,1,Clear,Standard,2.17,3389.32,10.65
SHP20323,Delhi,Delhi,Rail,979,260,1,Clear,Urgent,2.23,1582.47,8.03
SHP20324,Chennai,Chennai,Road,276,389,1,Rain,Standard,1.12,671.47,6.34
SHP20325,Delhi,Hyderabad,Sea,314,24,9,Clear,Urgent,1.15,581.88,8.65
SHP20326,Delhi,Chennai,Rail,1445,103,3,Clear,Standard,0.19,2228.09,6.7
SHP20327,Mumbai,Pune,Rail,1507,327,5,Clear,Urgent,1.68,2677.31,8.93
SHP20328,Chennai,Delhi,Rail,695,380,10,Rain,Standard,2.05,1191.74,9.44
SHP20329,Mumbai,Kochi,Road,1468,478,9,Clear,Standard,0.61,3744.63,8.76
SHP20330,Chennai,Bangalore,Road,1523,267,6,Clear,Urgent,1.05,3271.99,6.55
SHP20331,Bangalore,Bangalore,Road,1437,73,9,Clear,Urgent,2.1,3113.04,8.09
SHP20332,Chennai,Hyderabad,Air,1949,180,8,Rain,Urgent,2.19,12392.46,7.49
SHP20333,Mumbai,Kochi,Road,1299,453,8,Rain,Urgent,0.61,3472.26,6.49
SHP20334,Delhi,Coimbatore,Road,1031,441,1,Clear,Urgent,1.38,2324.36,4.96
SHP20335,Chennai,Mumbai,Road,1204,430,9,Clear,Standard,0.48,3070.54,7.31
SHP20336,Chennai,Pune,Road,637,245,6,Clear,Standard,0.25,1570.48,6.09
SHP20337,Hyderabad,Hyderabad,Air,525,34,9,Clear,Standard,2.28,4227.03,4.95
SHP20338,Delhi,Mumbai,Rail,1871,243,3,Rain,Standard,2.05,2825.59,9.72
SHP20339,Bangalore,Chennai,Road,1035,80,3,Rain,Standard,1.9,2037.13,7.37
SHP20340,Mumbai,Pune,Road,1291,141,6,Rain,Standard,0.12,3249.44,6.07
SHP20341,Bangalore,Chennai,Road,239,296,9,Rain,Standard,2.11,1398.77,7.3
SHP20342,Delhi,Coimbatore,Road,1490,65,7,Clear,Standard,1.1,3731.42,7.49
SHP20343,Chennai,Kochi,Road,1030,472,3,Clear,Standard,0.86,3111.8,6.33
SHP20344,Chennai,Delhi,Road,1748,409,3,Rain,Standard,1.37,4146.03,8.05
SHP20345,Delhi,Pune,Road,1765,313,2,Clear,Standard,0.23,3794.24,6.76
SHP20346,Chennai,Mumbai,Rail,90,81,9,Rain,Urgent,1.89,454.25,8.18
SHP20347,Chennai,Coimbatore,Rail,992,105,3,Clear,Standard,1.46,1416.08,7.7
SHP20348,Chennai,Delhi,Road,387,465,5,Clear,Standard,0.47,1266.56,5.36
SHP20349,Mumbai,Bangalore,Road,1387,229,9,Storm,Standard,0.47,3605.08,8.75
SHP20350,Mumbai,Mumbai,Rail,1148,97,8,Clear,Standard,0.46,1859.88,7.93
SHP20351,Hyderabad,Hyderabad,Road,945,221,2,Storm,Standard,0.14,2401.76,6.67
SHP20352,Bangalore,Bangalore,Air,1724,321,3,Storm,Standard,1.47,10987.28,8.34
SHP20353,Delhi,Coimbatore,Rail,980,416,2,Rain,Standard,2.1,1443.74,9.86
SHP20354,Delhi,Bangalore,Road,338,242,8,Rain,Standard,0.04,744.51,5.28
SHP20355,Delhi,Hyderabad,Road,773,241,6,Clear,Standard,0.12,1663.73,5.05
SHP20356,Hyderabad,Pune,Rail,2003,22,6,Rain,Urgent,1.43,2727.02,9.34
SHP20357,Mumbai,Bangalore,Road,1139,497,9,Clear,Urgent,2.05,3073.88,8.21
SHP20358,Hyderabad,Kochi,Rail,532,25,8,Clear,Standard,0.82,832.02,6.73
SHP20359,Delhi,Mumbai,Sea,985,112,4,Clear,Standard,0.87,1263.87,9.19
SHP20360,Bangalore,Delhi,Rail,205,27,4,Clear,Standard,1.49,298.88,7.38
SHP20361,Chennai,Bangalore,Road,1120,447,9,Clear,Standard,0.69,3021.54,7.11
SHP20362,Mumbai,Mumbai,Rail,2008,254,1,Clear,Urgent,0.07,2903.4,7.98
SHP20363,Mumbai,Chennai,Road,1733,127,2,Clear,Standard,1.84,4083.91,8.17
SHP20364,Hyderabad,Mumbai,Road,173,180,2,Rain,Urgent,1.56,334.19,4.76
SHP20365,Mumbai,Delhi,Sea,2098,228,6,Clear,Standard,1.45,2775.7,11.94
SHP20366,Delhi,Mumbai,Road,1017,259,4,Storm,Urgent,1.85,2258.51,8.7
SHP20367,Delhi,Hyderabad,Sea,904,350,10,Rain,Standard,1.69,1021.09,11.21
SHP20368,Hyderabad,Coimbatore,Sea,689,352,3,Rain,Urgent,0.51,864.47,9.19
SHP20369,Delhi,Delhi,Road,1652,69,3,Clear,Standard,0.88,4281.13,6.68
SHP20370,Bangalore,Coimbatore,Road,491,30,3,Rain,Standard,0.32,1337.8,4.15
SHP20371,Hyderabad,Pune,Road,1994,370,6,Clear,Standard,0.32,4681.74,7.49
SHP20372,Bangalore,Coimbatore,Road,1888,175,8,Rain,Standard,1.69,4412.3,8.84
SHP20373,Chennai,Chennai,Road,1879,89,7,Clear,Urgent,2.15,3890.7,7.56
SHP20374,Bangalore,Hyderabad,Rail,582,188,4,Rain,Urgent,2.41,1147.31,8.59
SHP20375,Chennai,Pune,Road,1386,291,4,Storm,Urgent,1.57,3174.53,7.38
SHP20376,Chennai,Mumbai,Road,998,87,10,Clear,Standard,0.46,2876.57,5.84
SHP20377,Bangalore,Delhi,Air,2069,374,2,Clear,Urgent,0.26,12886.93,6.0
SHP20378,Hyderabad,Chennai,Road,509,271,1,Rain,Standard,2.03,1202.33,7.32
SHP20379,Delhi,Hyderabad,Air,600,67,9,Clear,Standard,1.45,3700.85,4.19
SHP20380,Delhi,Pune,Road,442,203,2,Rain,Standard,1.55,1171.7,7.18
SHP20381,Chennai,Pune,Road,1837,339,8,Clear,Standard,1.95,4332.34,8.48
SHP20382,Chennai,Chennai,Rail,894,206,9,Clear,Standard,1.76,1362.2,8.61
SHP20383,Hyderabad,Kochi,Rail,1188,109,4,Storm,Standard,2.09,1895.79,9.89
SHP20384,Mumbai,Mumbai,Air,695,465,8,Rain,Standard,0.14,5043.04,4.8
SHP20385,Bangalore,Chennai,Rail,1516,351,9,Rain,Urgent,1.87,2855.06,10.97
SHP20386,Chennai,Pune,Air,1427,158,10,Clear,Standard,2.13,9396.79,6.24
SHP20387,Delhi,Bangalore,Road,191,376,10,Rain,Standard,0.72,1093.97,5.29
SHP20388,Hyderabad,Hyderabad,Road,550,108,5,Clear,Standard,1.6,1113.11,6.74
SHP20389,Bangalore,Chennai,Air,889,293,7,Clear,Standard,0.79,5708.29,5.37
SHP20390,Hyderabad,Kochi,Air,1732,38,10,Rain,Standard,2.39,11226.23,6.93
SHP20391,Bangalore,Pune,Sea,1615,490,4,Clear,Standard,0.08,1904.37,10.32
SHP20392,Bangalore,Mumbai,Road,2096,330,1,Clear,Standard,1.45,4960.54,8.16
SHP20393,Chennai,Coimbatore,Road,1580,377,3,Clear,Standard,0.42,3728.95,6.14
SHP20394,Hyderabad,Pune,Air,645,393,5,Rain,Standard,1.78,4685.38,5.0
SHP20395,Hyderabad,Mumbai,Road,1954,485,3,Clear,Urgent,0.44,4684.18,7.23
SHP20396,Delhi,Chennai,Sea,330,173,7,Rain,Standard,0.59,331.37,9.45
SHP20397,Delhi,Mumbai,Air,473,409,9,Clear,Standard,1.24,3700.09,4.92
SHP20398,Chennai,Delhi,Road,319,279,6,Clear,Urgent,2.29,789.85,5.92
SHP20399,Chennai,Delhi,Air,203,127,10,Rain,Standard,0.53,1642.82,3.66
SHP20400,Mumbai,Delhi,Air,1800,390,1,Clear,Standard,0.36,11443.54,3.46
SHP20401,Delhi,Kochi,Road,711,304,7,Clear,Urgent,1.9,1684.27,6.46
SHP20402,Bangalore,Kochi,Sea,2017,78,3,Clear,Standard,1.25,2103.03,11.9
SHP20403,Hyderabad,Bangalore,Road,132,144,5,Clear,Standard,2.28,250.0,5.78
SHP20404,Chennai,Kochi,Air,1499,373,10,Rain,Standard,0.37,10058.78,5.3
SHP20405,Hyderabad,Coimbatore,Road,1348,292,4,Clear,Standard,1.61,2932.69,7.68
SHP20406,Hyderabad,Chennai,Air,1029,126,10,Rain,Standard,0.58,6412.12,5.67
SHP20407,Mumbai,Pune,Road,1709,318,5,Clear,Standard,0.39,3520.36,6.57
SHP20408,Delhi,Pune,Road,1448,264,5,Clear,Standard,1.71,3163.76,7.56
SHP20409,Chennai,Bangalore,Sea,682,355,6,Rain,Standard,1.48,542.15,11.03
SHP20410,Hyderabad,Kochi,Road,1581,469,10,Clear,Standard,1.89,3797.0,8.93
SHP20411,Chennai,Coimbatore,Road,836,437,10,Clear,Standard,0.77,2690.17,7.34
SHP20412,Bangalore,Mumbai,Sea,447,266,6,Clear,Standard,1.12,711.42,10.7
SHP20413,Mumbai,Bangalore,Sea,1193,27,8,Clear,Standard,1.01,1074.17,9.28
SHP20414,Bangalore,Coimbatore,Rail,983,160,8,Clear,Standard,2.46,1758.47,10.23
SHP20415,Chennai,Mumbai,Rail,1510,381,9,Clear,Urgent,0.73,2655.37,8.47
SHP20416,Chennai,Coimbatore,Road,1902,27,8,Clear,Standard,0.74,4597.45,8.22
SHP20417,Delhi,Mumbai,Road,335,497,2,Clear,Standard,0.89,1384.98,5.71
SHP20418,Hyderabad,Hyderabad,Road,314,371,10,Clear,Standard,1.41,1388.3,6.62
SHP20419,Hyderabad,Coimbatore,Rail,2186,113,1,Clear,Standard,0.63,3204.77,8.95
SHP20420,Bangalore,Pune,Air,1727,340,10,Clear,Urgent,2.29,11069.4,6.82
SHP20421,Mumbai,Delhi,Air,1276,446,2,Rain,Standard,0.66,8220.05,4.84
SHP20422,Hyderabad,Kochi,Air,870,58,2,Storm,Urgent,2.24,5771.44,6.45
SHP20423,Delhi,Mumbai,Road,1812,100,3,Clear,Standard,0.26,3410.11,5.89
SHP20424,Bangalore,Hyderabad,Road,90,206,10,Rain,Standard,1.64,957.39,7.32
SHP20425,Bangalore,Coimbatore,Road,1781,103,7,Clear,Standard,2.27,3872.0,8.82
SHP20426,Delhi,Pune,Road,117,107,2,Clear,Urgent,0.42,327.43,2.1
SHP20427,Mumbai,Delhi,Road,1037,261,1,Clear,Standard,2.42,2205.68,7.08
SHP20428,Delhi,Mumbai,Air,1849,361,6,Clear,Standard,1.13,11757.57,6.39
SHP20429,Mumbai,Coimbatore,Road,1671,112,9,Clear,Standard,2.36,3746.92,8.77
SHP20430,Delhi,Coimbatore,Road,1705,105,3,Clear,Standard,1.69,3505.82,6.24
SHP20431,Delhi,Mumbai,Road,1328,63,6,Clear,Urgent,0.75,2747.04,6.59
SHP20432,Chennai,Bangalore,Air,744,156,3,Rain,Standard,0.47,4272.07,4.11
SHP20433,Bangalore,Bangalore,Rail,1135,440,1,Clear,Standard,0.76,1725.55,7.87
SHP20434,Delhi,Pune,Road,1743,93,5,Clear,Urgent,0.23,3616.63,5.6
SHP20435,Delhi,Delhi,Road,1108,55,10,Rain,Standard,0.36,2653.31,7.21
SHP20436,Hyderabad,Mumbai,Rail,828,120,4,Clear,Urgent,0.26,1815.17,7.01
SHP20437,Bangalore,Pune,Road,543,495,7,Clear,Standard,1.06,1622.51,5.98
SHP20438,Hyderabad,Pune,Air,1635,175,6,Rain,Standard,1.99,9965.32,8.11
SHP20439,Bangalore,Chennai,Rail,1542,445,10,Rain,Urgent,0.35,2576.48,9.21
SHP20440,Hyderabad,Coimbatore,Road,1840,274,7,Rain,Standard,0.33,4209.94,7.41
SHP20441,Delhi,Kochi,Road,710,190,5,Rain,Standard,1.61,1913.16,8.41
SHP20442,Delhi,Coimbatore,Sea,1398,488,4,Rain,Standard,0.49,1848.69,11.08
SHP20443,Chennai,Bangalore,Road,1377,235,7,Storm,Standard,0.24,3417.43,8.36
SHP20444,Hyderabad,Delhi,Road,1349,189,7,Clear,Standard,0.42,3355.41,6.31
SHP20445,Mumbai,Coimbatore,Air,2036,271,6,Clear,Urgent,2.31,12667.93,6.49
SHP20446,Chennai,Mumbai,Sea,2094,379,8,Clear,Standard,2.05,2886.34,13.14
SHP20447,Hyderabad,Pune,Sea,1978,341,4,Clear,Standard,0.89,2019.06,12.05
SHP20448,Hyderabad,Mumbai,Air,1397,74,10,Rain,Urgent,1.64,8844.44,6.07
SHP20449,Chennai,Chennai,Road,1108,475,5,Clear,Standard,1.34,3142.46,7.19
SHP20450,Delhi,Delhi,Road,1026,451,4,Clear,Standard,1.69,2739.51,8.08
SHP20451,Hyderabad,Pune,Air,531,110,1,Clear,Standard,1.71,2787.29,3.78
SHP20452,Delhi,Mumbai,Rail,777,297,8,Rain,Urgent,1.57,1558.81,8.95
SHP20453,Chennai,Bangalore,Road,1081,120,1,Clear,Standard,0.67,2520.49,5.98
SHP20454,Delhi,Kochi,Sea,392,174,5,Rain,Urgent,0.1,287.63,8.0
SHP20455,Bangalore,Chennai,Road,1497,396,6,Clear,Urgent,1.14,3748.07,7.13
SHP20456,Mumbai,Delhi,Road,576,368,6,Clear,Standard,2.23,1790.74,7.66
SHP20457,Hyderabad,Chennai,Road,1946,470,5,Clear,Standard,1.42,4785.98,8.25
SHP20458,Mumbai,Bangalore,Road,708,383,3,Clear,Urgent,2.08,1692.72,6.85
SHP20459,Delhi,Delhi,Road,2123,160,5,Rain,Standard,2.48,4813.97,9.74
SHP20460,Hyderabad,Chennai,Road,869,192,8,Rain,Urgent,0.41,2230.7,5.61
SHP20461,Delhi,Hyderabad,Road,455,29,2,Clear,Urgent,1.73,1447.61,4.22
SHP20462,Bangalore,Bangalore,Rail,1623,247,6,Clear,Standard,1.69,3238.71,9.3
SHP20463,Chennai,Bangalore,Rail,1861,284,9,Clear,Standard,2.45,3374.48,10.65
SHP20464,Hyderabad,Bangalore,Rail,554,457,8,Rain,Urgent,2.46,1531.63,9.25
SHP20465,Bangalore,Hyderabad,Sea,228,267,8,Rain,Urgent,1.72,1212.3,10.32
SHP20466,Bangalore,Hyderabad,Road,181,266,8,Clear,Standard,0.61,1032.27,4.26
SHP20467,Hyderabad,Mumbai,Road,1896,174,7,Clear,Standard,2.0,3966.61,7.71
SHP20468,Delhi,Pune,Air,1528,53,8,Rain,Standard,0.27,9499.13,4.97
SHP20469,Bangalore,Kochi,Road,821,148,6,Clear,Standard,1.95,2175.62,7.31
SHP20470,Mumbai,Chennai,Sea,1479,179,2,Clear,Standard,2.28,1706.04,11.54
SHP20471,Bangalore,Mumbai,Road,2173,108,2,Clear,Standard,0.96,4231.88,7.03
SHP20472,Delhi,Chennai,Sea,628,112,8,Clear,Standard,1.58,633.42,10.74
SHP20473,Delhi,Kochi,Road,1565,346,1,Rain,Standard,1.08,3391.07,7.26
SHP20474,Mumbai,Pune,Air,243,260,6,Storm,Standard,1.09,2100.64,5.59
SHP20475,Bangalore,Hyderabad,Road,2057,342,6,Clear,Standard,0.78,4797.44,7.72
SHP20476,Delhi,Pune,Sea,1235,487,4,Clear,Standard,1.91,1554.68,10.87
SHP20477,Hyderabad,Hyderabad,Road,1434,423,10,Clear,Standard,2.34,3390.09,8.86
SHP20478,Chennai,Kochi,Rail,1842,136,3,Clear,Standard,2.35,3056.24,10.44
SHP20479,Chennai,Pune,Sea,1160,113,3,Clear,Standard,0.44,943.14,9.31
SHP20480,Chennai,Mumbai,Road,1986,182,1,Clear,Standard,2.19,4496.39,8.94
SHP20481,Bangalore,Delhi,Rail,829,118,3,Clear,Standard,1.84,1473.61,8.25
SHP20482,Mumbai,Mumbai,Rail,311,132,4,Clear,Urgent,0.63,983.18,4.76
SHP20483,Delhi,Chennai,Road,779,378,5,Clear,Standard,0.17,1962.09,6.58
SHP20484,Hyderabad,Mumbai,Rail,332,110,3,Clear,Urgent,0.67,599.94,5.77
SHP20485,Hyderabad,Kochi,Rail,1540,365,6,Clear,Standard,2.28,2554.26,10.51
SHP20486,Bangalore,Bangalore,Sea,411,225,5,Clear,Standard,1.58,549.55,9.38
SHP20487,Chennai,Chennai,Road,490,36,3,Storm,Urgent,1.8,1173.71,7.53
SHP20488,Bangalore,Pune,Road,2190,293,6,Clear,Standard,0.64,5248.47,7.31
SHP20489,Mumbai,Chennai,Sea,1694,192,6,Clear,Standard,1.8,1515.99,12.05
SHP20490,Mumbai,Delhi,Air,916,135,8,Rain,Standard,0.07,5766.95,3.29
SHP20491,Delhi,Hyderabad,Road,1497,368,2,Storm,Standard,0.94,3203.76,8.82
SHP20492,Delhi,Pune,Rail,191,487,1,Clear,Standard,1.57,698.0,6.56
SHP20493,Mumbai,Coimbatore,Road,1364,200,4,Rain,Standard,0.37,3014.12,6.93
SHP20494,Mumbai,Chennai,Road,1505,110,7,Clear,Standard,2.06,3547.08,8.95
SHP20495,Mumbai,Pune,Road,1925,101,10,Clear,Standard,0.59,4299.33,8.13
SHP20496,Bangalore,Pune,Road,1897,343,3,Clear,Urgent,1.63,4283.42,8.26
SHP20497,Mumbai,Pune,Rail,1762,468,3,Rain,Standard,1.01,2916.41,10.38
SHP20498,Hyderabad,Hyderabad,Road,750,133,5,Rain,Standard,1.49,1856.05,6.76
SHP20499,Chennai,Coimbatore,Sea,1047,276,5,Clear,Urgent,0.27,1444.93,8.99
SHP20500,Mumbai,Kochi,Sea,2146,77,10,Clear,Standard,0.04,2293.17,9.97
SHP20501,Chennai,Mumbai,Rail,1375,173,3,Clear,Standard,2.27,2459.79,8.97
SHP20502,Bangalore,Pune,Road,930,384,9,Clear,Standard,0.67,3156.0,7.4
SHP20503,Chennai,Bangalore,Road,1263,423,4,Clear,Standard,2.05,3223.26,7.73
SHP20504,Bangalore,Kochi,Air,1209,135,3,Rain,Standard,2.5,7571.25,5.65
SHP20505,Hyderabad,Delhi,Rail,604,362,2,Rain,Urgent,0.53,1337.15,7.86
SHP20506,Bangalore,Hyderabad,Road,453,285,10,Rain,Urgent,0.66,1237.24,6.33
SHP20507,Bangalore,Chennai,Sea,941,334,9,Rain,Standard,1.66,1390.63,12.18
SHP20508,Delhi,Hyderabad,Air,651,222,4,Clear,Standard,2.41,4118.47,4.8
SHP20509,Mumbai,Chennai,Sea,1880,60,3,Rain,Standard,2.29,1957.49,12.78
SHP20510,Mumbai,Hyderabad,Rail,390,124,7,Clear,Standard,1.26,682.01,7.47
SHP20511,Hyderabad,Chennai,Rail,2018,408,8,Clear,Urgent,1.99,3184.41,9.86
SHP20512,Hyderabad,Pune,Road,753,397,2,Clear,Standard,0.34,1465.31,5.13
SHP20513,Mumbai,Mumbai,Sea,367,212,7,Clear,Standard,2.44,398.59,9.79
SHP20514,Delhi,Chennai,Air,1436,420,5,Clear,Urgent,2.41,9362.72,6.07
SHP20515,Mumbai,Coimbatore,Road,1850,297,5,Clear,Standard,0.41,3925.09,7.61
SHP20516,Delhi,Chennai,Road,1417,373,3,Rain,Standard,0.75,3540.64,6.95
SHP20517,Hyderabad,Bangalore,Road,1622,256,5,Clear,Standard,0.25,3410.93,7.58
SHP20518,Chennai,Chennai,Air,866,444,2,Clear,Urgent,0.68,5889.91,2.6
SHP20519,Hyderabad,Bangalore,Sea,602,240,4,Storm,Standard,2.04,623.33,11.68
SHP20520,Hyderabad,Delhi,Road,905,87,6,Clear,Urgent,0.95,2194.67,5.12
SHP20521,Bangalore,Pune,Rail,1862,216,1,Clear,Standard,0.22,2266.3,7.71
SHP20522,Bangalore,Bangalore,Road,232,275,10,Clear,Urgent,0.86,948.2,5.93
SHP20523,Bangalore,Mumbai,Sea,1624,158,4,Clear,Urgent,2.45,1476.95,10.84
SHP20524,Bangalore,Kochi,Air,446,331,6,Clear,Standard,1.57,3487.46,4.36
SHP20525,Delhi,Pune,Air,1777,454,9,Clear,Standard,1.04,11614.67,6.87
SHP20526,Mumbai,Bangalore,Road,1567,168,2,Clear,Standard,0.42,3047.06,6.19
SHP20527,Chennai,Pune,Road,956,118,7,Clear,Standard,2.47,2212.4,7.94
SHP20528,Hyderabad,Coimbatore,Road,1406,95,6,Clear,Standard,2.05,2914.42,7.39
SHP20529,Delhi,Pune,Road,50,301,2,Clear,Standard,0.7,678.46,4.41
SHP20530,Chennai,Pune,Air,68,390,8,Clear,Standard,0.18,1454.38,3.61
SHP20531,Delhi,Delhi,Air,633,422,7,Rain,Standard,0.14,4167.89,3.5
SHP20532,Delhi,Mumbai,Sea,505,128,5,Clear,Standard,0.3,906.58,7.92
SHP20533,Hyderabad,Hyderabad,Sea,2086,207,5,Clear,Standard,1.45,1960.43,10.83
SHP20534,Mumbai,Hyderabad,Rail,1182,218,7,Rain,Standard,2.32,1914.57,10.66
SHP20535,Bangalore,Bangalore,Air,2002,322,9,Clear,Urgent,1.24,12705.36,6.92
SHP20536,Mumbai,Pune,Sea,2200,346,9,Clear,Standard,2.11,2939.45,13.22
SHP20537,Hyderabad,Bangalore,Air,1037,173,9,Clear,Standard,1.11,6484.99,4.57
SHP20538,Hyderabad,Delhi,Road,569,59,6,Rain,Urgent,1.77,1609.79,5.95
SHP20539,Hyderabad,Delhi,Road,908,152,10,Rain,Standard,1.83,2009.92,8.08
SHP20540,Chennai,Chennai,Road,223,424,6,Clear,Urgent,0.43,727.45,4.31
SHP20541,Mumbai,Coimbatore,Sea,1416,481,3,Rain,Standard,0.9,1651.07,11.67
SHP20542,Mumbai,Delhi,Rail,776,151,1,Clear,Standard,1.59,1185.13,7.17
SHP20543,Delhi,Chennai,Road,1760,298,7,Clear,Standard,0.18,3325.12,7.2
SHP20544,Delhi,Mumbai,Rail,1925,381,4,Clear,Standard,0.9,3275.3,9.01
SHP20545,Delhi,Bangalore,Rail,1731,103,1,Clear,Standard,1.34,1843.22,8.17
SHP20546,Hyderabad,Kochi,Road,1397,418,8,Rain,Standard,2.49,3413.72,9.56
SHP20547,Mumbai,Mumbai,Road,1039,261,6,Clear,Standard,1.19,2854.8,6.95
SHP20548,Hyderabad,Delhi,Rail,469,135,6,Clear,Standard,2.04,1493.5,8.63
SHP20549,Chennai,Mumbai,Road,643,128,2,Rain,Standard,1.08,1380.44,5.98
SHP20550,Delhi,Mumbai,Air,1824,240,1,Clear,Standard,1.99,10896.76,5.6
SHP20551,Hyderabad,Coimbatore,Road,985,411,2,Clear,Standard,1.49,2732.54,7.27
SHP20552,Hyderabad,Coimbatore,Air,1157,60,4,Clear,Standard,2.22,7367.29,5.14
SHP20553,Chennai,Coimbatore,Rail,1186,387,2,Rain,Urgent,1.03,1837.85,8.26
SHP20554,Bangalore,Mumbai,Rail,381,166,1,Rain,Standard,1.51,525.77,7.6
SHP20555,Mumbai,Delhi,Air,2138,131,7,Clear,Urgent,1.58,13044.3,6.17
SHP20556,Bangalore,Kochi,Road,1843,122,8,Rain,Urgent,1.04,3989.65,7.64
SHP20557,Delhi,Pune,Road,1008,65,6,Clear,Standard,0.36,2363.52,5.95
SHP20558,Hyderabad,Mumbai,Road,154,431,4,Rain,Standard,0.23,694.4,3.28
SHP20559,Chennai,Chennai,Air,251,494,6,Clear,Standard,0.04,2174.2,3.65
SHP20560,Chennai,Delhi,Rail,1892,343,3,Clear,Standard,2.18,3033.62,9.73
SHP20561,Mumbai,Mumbai,Rail,1916,397,8,Storm,Standard,0.59,2757.5,11.18
SHP20562,Bangalore,Kochi,Road,2046,290,10,Clear,Standard,0.53,4609.02,8.26
SHP20563,Mumbai,Pune,Road,1339,440,2,Clear,Standard,1.84,2725.01,8.32
SHP20564,Hyderabad,Coimbatore,Road,959,404,5,Clear,Standard,0.8,2483.7,6.46
SHP20565,Mumbai,Delhi,Road,259,214,1,Storm,Standard,1.27,260.75,6.2
SHP20566,Chennai,Hyderabad,Rail,612,386,6,Clear,Standard,0.41,1575.5,6.17
SHP20567,Chennai,Pune,Road,1613,299,2,Clear,Urgent,2.4,3236.44,7.58
SHP20568,Delhi,Chennai,Road,820,302,4,Clear,Standard,2.13,1608.66,6.13
SHP20569,Delhi,Mumbai,Sea,678,59,6,Clear,Standard,2.16,761.75,10.09
SHP20570,Hyderabad,Kochi,Road,1678,466,10,Clear,Standard,1.02,4553.18,8.12
SHP20571,Bangalore,Hyderabad,Road,1751,208,8,Rain,Standard,1.91,4147.0,8.99
SHP20572,Mumbai,Kochi,Air,436,183,8,Storm,Standard,0.36,2625.87,5.03
