Shipment_ID,Origin,Destination,Transport_Mode,Zone,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Transportation_Cost_INR,On_Time
SHP10347,Hyderabad,Bangalore,Road,West,297,85,3.28,250.0,Yes
SHP10348,Mumbai,Bangalore,Sea,North,215,793,9.67,877.04,Yes
SHP10349,Mumbai,Kochi,Road,East,423,1814,6.72,4544.25,No
SHP10350,Hyderabad,Pune,Rail,South,371,402,5.42,689.98,Yes
SHP10351,Mumbai,Kochi,Road,North,261,1972,7.26,4320.23,No
SHP10352,Chennai,Bangalore,Rail,South,343,122,3.55,502.43,Yes
SHP10353,Chennai,Delhi,Road,South,238,1426,6.83,3493.36,No
SHP10354,Mumbai,Hyderabad,Air,South,211,1964,4.35,11665.25,No
SHP10355,Mumbai,Kochi,Road,North,36,1143,6.03,2221.34,Yes
SHP10356,Hyderabad,Delhi,Road,West,31,757,3.69,1687.91,Yes
SHP10357,Bangalore,Hyderabad,Road,North,425,1854,4.9,4725.44,Yes
SHP10358,Mumbai,Hyderabad,Road,South,420,1005,5.96,2287.73,Yes
SHP10359,Chennai,Bangalore,Rail,North,413,209,5.2,250.0,Yes
SHP10360,Hyderabad,Kochi,Road,East,393,1785,5.44,4315.37,Yes
SHP10361,Mumbai,Mumbai,Air,West,212,1635,3.05,10208.96,Yes
SHP10362,Chennai,Chennai,Road,North,41,116,4.9,250.0,Yes
SHP10363,Chennai,Bangalore,Road,East,493,107,2.58,473.83,Yes
SHP10364,Bangalore,Bangalore,Road,West,139,391,5.84,890.82,Yes
SHP10365,Hyderabad,Mumbai,Road,East,229,1203,4.55,2484.03,Yes
SHP10366,Hyderabad,Chennai,Rail,West,325,1245,7.05,1231.87,No
SHP10367,Bangalore,Delhi,Road,North,289,1282,5.24,3205.77,Yes
SHP10368,Bangalore,Pune,Road,East,211,1544,6.58,3838.99,No
SHP10369,Hyderabad,Kochi,Air,South,194,1871,3.73,12033.77,Yes
SHP10370,Hyderabad,Pune,Sea,East,304,165,7.09,250.0,Yes
SHP10371,Mumbai,Delhi,Road,West,223,711,4.73,1617.82,Yes
SHP10372,Mumbai,Coimbatore,Road,North,183,1515,4.93,3306.36,Yes
SHP10373,Bangalore,Bangalore,Rail,West,270,1918,8.19,3014.48,No
SHP10374,Mumbai,Chennai,Road,East,246,1066,4.73,2684.45,Yes
SHP10375,Chennai,Bangalore,Road,East,455,360,3.93,803.91,Yes
SHP10376,Mumbai,Hyderabad,Road,South,400,257,3.0,951.47,Yes
SHP10377,Mumbai,Bangalore,Rail,North,479,682,2.99,1525.88,Yes
SHP10378,Chennai,Bangalore,Rail,North,26,2152,7.62,3436.11,No
SHP10379,Bangalore,Delhi,Road,East,48,706,7.1,1776.61,No
SHP10380,Chennai,Delhi,Road,North,414,1473,6.65,3696.69,No
SHP10381,Mumbai,Delhi,Road,South,52,1981,6.63,4241.14,No
SHP10382,Bangalore,Pune,Rail,West,153,1729,6.9,2962.52,Yes
SHP10383,Mumbai,Hyderabad,Road,North,386,286,4.06,1079.25,Yes
SHP10384,Chennai,Coimbatore,Road,East,98,397,4.76,600.89,Yes
SHP10385,Chennai,Coimbatore,Air,West,435,679,1.26,5325.74,Yes
SHP10386,Mumbai,Delhi,Road,West,454,1590,7.16,3943.7,No
SHP10387,Hyderabad,Chennai,Rail,South,478,2053,8.37,2950.32,No
SHP10388,Hyderabad,Pune,Road,East,77,1321,6.35,2655.91,Yes
SHP10389,Chennai,Mumbai,Road,North,490,413,4.67,1383.44,Yes
SHP10390,Chennai,Chennai,Road,East,45,335,4.14,902.96,Yes
SHP10391,Hyderabad,Kochi,Rail,West,449,198,5.48,739.99,Yes
SHP10392,Hyderabad,Kochi,Air,East,245,1157,3.77,7635.34,Yes
SHP10393,Mumbai,Chennai,Air,North,304,505,1.82,4030.86,Yes
SHP10394,Mumbai,Delhi,Road,North,23,1816,5.82,4209.42,Yes
SHP10395,Hyderabad,Mumbai,Rail,South,484,849,5.91,1555.29,Yes
SHP10396,Mumbai,Mumbai,Road,North,118,1234,7.05,3032.83,No
SHP10397,Mumbai,Pune,Road,North,416,1062,3.99,2257.72,Yes
SHP10398,Bangalore,Mumbai,Air,East,58,1573,2.35,9964.49,Yes
SHP10399,Mumbai,Kochi,Road,East,290,530,4.58,2006.01,Yes
SHP10400,Chennai,Hyderabad,Road,West,394,1736,6.32,3866.03,Yes
SHP10401,Mumbai,Delhi,Road,South,304,1651,6.31,3416.55,Yes
SHP10402,Mumbai,Mumbai,Road,East,176,390,4.44,755.47,Yes
SHP10403,Hyderabad,Pune,Road,North,94,2060,6.55,4020.33,No
SHP10404,Chennai,Kochi,Rail,West,391,1916,8.94,2612.54,No
SHP10405,Mumbai,Hyderabad,Road,East,307,884,3.36,1977.82,Yes
SHP10406,Mumbai,Bangalore,Air,South,149,1253,2.5,7486.33,Yes
SHP10407,Bangalore,Bangalore,Air,South,194,1775,4.03,11231.82,No
SHP10408,Mumbai,Hyderabad,Road,West,481,1739,4.63,4305.63,Yes
SHP10409,Mumbai,Kochi,Road,West,103,360,3.98,530.61,Yes
SHP10410,Bangalore,Pune,Road,West,41,311,5.74,1223.28,Yes
SHP10411,Hyderabad,Hyderabad,Rail,West,478,1492,6.82,2516.21,Yes
SHP10412,Mumbai,Delhi,Road,West,46,455,4.53,1349.62,Yes
SHP10413,Bangalore,Delhi,Rail,North,214,391,3.84,445.51,Yes
SHP10414,Chennai,Bangalore,Road,North,356,1389,5.12,3488.42,Yes
SHP10415,Hyderabad,Mumbai,Rail,East,401,293,4.58,335.03,Yes
SHP10416,Chennai,Pune,Road,South,255,539,4.11,1675.43,Yes
SHP10417,Chennai,Bangalore,Road,North,459,61,4.98,589.6,Yes
SHP10418,Bangalore,Mumbai,Sea,North,111,610,8.5,839.04,Yes
SHP10419,Mumbai,Mumbai,Air,North,496,91,0.5,723.28,Yes
SHP10420,Bangalore,Coimbatore,Road,East,40,643,4.84,1074.74,Yes
SHP10421,Bangalore,Delhi,Air,West,322,1502,4.21,9912.5,No
SHP10422,Bangalore,Kochi,Road,East,483,1876,7.63,4087.04,No
SHP10423,Bangalore,Chennai,Air,South,376,1743,5.66,11458.44,No
SHP10424,Hyderabad,Kochi,Air,South,462,183,0.67,1131.12,Yes
SHP10425,Mumbai,Chennai,Road,South,103,997,4.32,2481.55,Yes
SHP10426,Chennai,Hyderabad,Road,South,281,122,2.53,250.0,Yes
SHP10427,Chennai,Delhi,Road,North,166,448,4.06,1281.36,Yes
SHP10428,Mumbai,Mumbai,Road,North,460,1478,6.34,3628.7,Yes
SHP10429,Chennai,Pune,Rail,East,472,179,5.76,329.58,Yes
SHP10430,Mumbai,Chennai,Road,West,406,1861,6.39,4496.72,Yes
SHP10431,Chennai,Kochi,Road,South,276,2051,6.44,4597.47,Yes
SHP10432,Bangalore,Mumbai,Air,East,77,315,2.04,1873.13,Yes
SHP10433,Chennai,Chennai,Sea,North,399,1610,8.64,1379.65,Yes
SHP10434,Mumbai,Chennai,Road,North,441,2035,8.82,3970.88,No
SHP10435,Mumbai,Coimbatore,Road,West,34,842,3.29,1920.83,Yes
SHP10436,Mumbai,Chennai,Road,West,181,1362,5.88,2461.76,Yes
SHP10437,Mumbai,Pune,Road,West,464,213,5.95,828.63,Yes
SHP10438,Mumbai,Delhi,Sea,East,182,144,7.23,250.0,Yes
SHP10439,Hyderabad,Pune,Road,North,339,1855,6.26,4354.21,Yes
SHP10440,Hyderabad,Bangalore,Rail,North,300,1183,5.96,1716.16,Yes
SHP10441,Chennai,Mumbai,Road,West,299,871,4.76,1975.46,Yes
SHP10442,Mumbai,Delhi,Rail,South,31,287,6.31,673.92,Yes
SHP10443,Chennai,Coimbatore,Rail,West,293,2010,5.38,3110.18,Yes
SHP10444,Mumbai,Delhi,Air,East,290,1098,4.62,7316.62,No
SHP10445,Mumbai,Delhi,Road,West,227,1726,4.83,3998.56,Yes
SHP10446,Hyderabad,Kochi,Road,West,46,1013,4.89,1630.3,Yes
SHP10447,Hyderabad,Delhi,Road,East,91,586,4.07,1562.24,Yes
SHP10448,Bangalore,Coimbatore,Sea,West,79,1653,10.13,1837.21,No
SHP10449,Hyderabad,Pune,Air,North,449,2029,2.92,12817.63,Yes
SHP10450,Bangalore,Delhi,Rail,South,492,177,5.23,567.67,Yes
SHP10451,Bangalore,Hyderabad,Rail,West,164,141,6.74,288.11,Yes
SHP10452,Bangalore,Mumbai,Rail,East,112,592,4.05,841.83,Yes
SHP10453,Bangalore,Delhi,Road,South,328,895,5.17,2260.63,Yes
SHP10454,Bangalore,Mumbai,Sea,East,27,1731,9.0,2163.09,Yes
SHP10455,Chennai,Hyderabad,Road,South,98,1901,6.95,4452.72,No
SHP10456,Hyderabad,Hyderabad,Road,South,46,439,4.29,498.36,Yes
SHP10457,Bangalore,Mumbai,Road,West,193,1934,5.93,4470.51,Yes
SHP10458,Mumbai,Chennai,Road,North,69,92,4.23,705.24,Yes
SHP10459,Hyderabad,Bangalore,Road,West,218,303,5.87,944.36,Yes
SHP10460,Hyderabad,Kochi,Rail,East,406,1133,6.05,2177.38,Yes
SHP10461,Bangalore,Chennai,Road,East,368,1590,6.77,4376.84,No
SHP10462,Chennai,Chennai,Rail,South,467,2003,6.29,3515.58,Yes
SHP10463,Bangalore,Pune,Road,South,447,691,3.71,1869.5,Yes
SHP10464,Chennai,Kochi,Road,North,200,739,5.21,2107.48,Yes
SHP10465,Mumbai,Kochi,Road,West,43,1326,7.12,2867.35,No
SHP10466,Hyderabad,Chennai,Road,East,335,2000,7.03,4532.6,No
SHP10467,Mumbai,Delhi,Rail,South,397,1129,5.92,1762.99,Yes
SHP10468,Chennai,Pune,Road,North,406,1536,5.96,4150.28,Yes
SHP10469,Chennai,Pune,Rail,East,423,506,4.03,670.11,Yes
SHP10470,Mumbai,Hyderabad,Road,South,65,1032,5.79,2767.66,Yes
SHP10471,Chennai,Coimbatore,Rail,East,34,2180,8.74,3148.61,No
SHP10472,Mumbai,Kochi,Sea,North,172,1172,8.35,712.3,Yes
SHP10473,Hyderabad,Chennai,Rail,North,241,198,4.33,622.18,Yes
SHP10474,Mumbai,Hyderabad,Road,East,225,1402,6.02,2375.99,Yes
SHP10475,Hyderabad,Mumbai,Road,West,474,1229,5.05,3252.11,Yes
SHP10476,Mumbai,Bangalore,Road,East,292,239,3.9,1010.45,Yes
SHP10477,Chennai,Coimbatore,Rail,South,401,932,8.03,1409.1,No
SHP10478,Mumbai,Coimbatore,Road,West,255,449,4.04,1198.98,Yes
SHP10479,Chennai,Coimbatore,Road,South,359,658,4.25,2307.99,Yes
SHP10480,Mumbai,Pune,Rail,East,247,1845,6.69,2493.33,Yes
SHP10481,Mumbai,Mumbai,Road,West,28,1688,6.94,3192.23,No
SHP10482,Bangalore,Coimbatore,Air,South,185,1625,3.72,10818.01,Yes
SHP10483,Chennai,Mumbai,Road,East,451,2198,6.33,5640.26,Yes
SHP10484,Bangalore,Delhi,Road,East,463,1432,7.12,3404.55,No
SHP10485,Chennai,Coimbatore,Rail,West,338,1453,8.15,2568.05,No
SHP10486,Bangalore,Bangalore,Road,East,233,869,4.34,2468.69,Yes
SHP10487,Hyderabad,Mumbai,Rail,North,136,869,3.97,1036.71,Yes
SHP10488,Mumbai,Mumbai,Road,South,405,469,5.33,1081.26,Yes
SHP10489,Chennai,Bangalore,Road,South,363,173,3.18,1144.42,Yes
SHP10490,Chennai,Coimbatore,Air,East,91,471,2.92,3639.2,Yes
SHP10491,Mumbai,Bangalore,Air,East,414,1558,1.83,10403.34,Yes
SHP10492,Chennai,Mumbai,Rail,North,83,1647,7.93,1986.36,No
SHP10493,Chennai,Bangalore,Road,West,224,817,3.65,2626.49,Yes
SHP10494,Bangalore,Mumbai,Rail,East,228,2094,8.45,2802.19,No
SHP10495,Chennai,Mumbai,Road,East,91,2189,6.98,4540.43,No
SHP10496,Hyderabad,Delhi,Road,East,296,1599,5.11,3692.68,Yes
SHP10497,Hyderabad,Chennai,Sea,East,293,1814,9.38,2453.8,Yes
SHP10498,Mumbai,Mumbai,Road,South,497,2094,7.51,5020.57,No
SHP10499,Chennai,Coimbatore,Sea,East,339,559,7.97,874.31,Yes
SHP10500,Mumbai,Hyderabad,Road,South,357,1256,6.12,3156.16,Yes
